PRODUCTOS    |Proveedor|PVP DEF con IVA|PVP socios|Observaciones
Harina espelta blanca 800gr|Rincón del Segura|3.25||
Harina espelta integral 800gr|Rincón del Segura|3.00||
Levadura polvo (bolsa 9 gr)|Naturver|1.10||
Bases de pizzas (2 unidades)|Biocop|2.95||
Tortillas de trigo Amaizin 240gr|Gumendi|3.25||
Regañas|Gumendi|2.20||
Magdalenas de trigo Bolsa 6 ud|Biopan|4.50||
Magdalenas de trigo con chocolate Bolsa 6 ud|Biopan|5.05||
Tortas aceite Ines Rosales|Naturver|2.25||
Pan Trigo Blanco|Cuatro Soles|3.65||
Pan Trigo Integral|Cuatro Soles|3.65||
Pan Fibra DietaF (Trigo, Trigo Integral y centeno integral)|Cuatro Soles|4.10||
Pan Multicereales con Semillas|Cuatro Soles|4.10||
Pan Centeno 100 % Integral|Cuatro Soles|3.65||
Pan Espelta Blanco|Cuatro Soles|4.60||
Pan Espelta 100 % "DietaF"|Cuatro Soles|5.15||
Pan Espelta Integral|Cuatro Soles|4.35||
Pan Maíz SIN GLUTEN|Cuatro Soles|4.80||
Pan de boniato|Cuatro Soles|5.90||
Pan 100% teff|Cuatro Soles|5.90||
Pan quinoa|Cuatro Soles|5.65||
Pan de algarroba con pasas y nueces|Cuatro Soles|6.15||
Sarraceno sin levadura con calabaza y sésamo|Cuatro Soles|6.50||
Pan Multicereales con Semillas / SIN GLUTEN|Cuatro Soles|5.30||
Pan Sarraceno 100% SIN GLUTEN|Cuatro Soles|4.70||
Pan Sarraceno 100% SIN GLUTEN / SIN LEVADURA|Cuatro Soles|5.60||
Pan Sarraceno 100% Con Semillas / SIN GLUTEN|Cuatro Soles|5.15||
Molletes trigo Blanco|Cuatro Soles|3.80||
Molletes espelta Blanco SIN TRIGO|Cuatro Soles|4.30||
Molletes espelta semi integral al 50% SIN TRIGO|Cuatro Soles|4.30||
Bizcocho espelta integral Con Manzana y Canela|Cuatro Soles|4.40||
Bizcocho enriquecido Con cáñamo y chocolate SIN GLUTEN|Cuatro Soles|5.40||
Bizcocho de algarroba SIN GLUTEN|Cuatro Soles|5.40||
Bizcocho algarroba VEGANO / SIN GLUTEN|Cuatro Soles|5.40||
Magdalenas espelta integral Con Canela|Cuatro Soles|2.60||
Magdalenas trigo Con Zanahoria y Chocolate|Cuatro Soles|3.10||
Magdalenas sarraceno SIN GLUTEN|Cuatro Soles|3.10||
Base de pizza espelta Integral|Cuatro Soles|4.85||
Base de pizza sarraceno 100% SIN GLUTEN|Cuatro Soles|5.15||
Pan rallado trigo|Cuatro Soles|3.80||
Pan rallado sarraceno|Cuatro Soles|6.00||
Pan rallado espelta|Cuatro Soles|4.60||
ALIMENTACIÓN INFANTIL||||
Tarrito de Pollo con Arroz ecológico 230g|Naturver|2.70||
Tarrito de Verduras con Merluza ecológico 230g|Naturver|2.70||
Tarrito de guisito de alubias|Naturver|2.70||
Tarrito de Pavo con verduras 230g|Naturver|2.70||
Tarrito de Ternera con verduras 230g|Naturver|2.70||
Tarrito quinoa  230g|Naturver|2.50||
Tarrito brócoli con cordero 230 gr|Naturver|2.70||
Potitos Natubé pollo/ternera con verduras|Gumendi|2.70||
Gusanitos SMILITOS|Naturver|1.95||
Galletitas infantil manzana y espelta|Naturver|4.15||
